id,nombre,partidos_jugados,partidos_titular,goles,asistencias,tarjeta_amarilla,edad,altura,valor,rating,posicion
10386,Urken Zhanturayev,9,7,1,0,2,22,180.73499491820385,1000.0,27,Portero
10387,A. Llera,5,0,0,0,0,0,181.82014993130403,1000.0,25,Portero
10388,A. Castro,17,3,0,0,0,0,181.82014993130403,1000.0,25,Portero
10389,A. Ngon,14,4,0,0,3,0,181.82014993130403,1000.0,25,Portero
10390,H. Torrado,4,0,1,0,0,0,181.82014993130403,1000.0,25,Portero
10391,Álex Romero,33,31,9,0,10,0,181.82032334989992,2670.0,40,Delantero Centro
10392,Romero,17,8,3,0,4,0,181.8212797482642,11880.0,46,Delantero Centro
10393,M. Rodriguez,8,5,0,0,2,0,181.82030569650993,2500.0,37,Portero
10394,Butra,17,17,24,0,3,21,180.78438660589325,1640.0,34,Portero
10395,M. Garrido,18,17,37,0,1,0,181.82014993130403,1000.0,28,Portero
10398,D. Aparicio,28,28,3,0,1,36,190.0,2300.0,46,Defensa Central
10399,Mahillo,9,9,1,0,3,34,180.0,9980.0,44,Defensa Central
10400,A. Nuñez,25,25,0,0,14,27,180.48894199482066,6520.0,42,Defensa Central
10401,I. Moreno,19,18,0,0,3,0,181.82012685416956,777.77,40,Portero
10402,J. Garrido,22,17,0,0,5,0,181.8203378879858,2810.0,42,Portero
10403,Albarrán,18,14,0,0,1,34,180.14306141496525,703.7,38,Defensa Central
10404,Fouad Talhaoui,26,5,0,0,2,35,180.09382510826094,1560.0,44,Portero
10405,M. Gbadamosi,25,13,0,0,8,0,181.82014993130403,1000.0,31,Portero
10408,Chico,31,23,4,0,9,30,175.0,8280.0,46,MP
10409,R. Carrasco,26,25,2,0,13,26,180.53845206406652,8300.0,42,Mediocentro
10410,N. Hernandez,27,16,1,0,6,0,181.82053622901466,4720.0,43,Portero
10411,H. El Yahyaoui,33,32,3,0,5,0,181.82014608182658,962.93,31,Portero
10412,L. Garrido,30,11,6,0,2,0,181.82019250712696,1410.0,34,Portero
10415,Xule,31,26,6,0,7,0,181.82047911510583,4170.0,42,Portero
10416,Teto,28,26,2,2,11,30,168.0,13170.0,44,Extremo Derecho
10417,Mito,28,20,0,0,8,0,181.8204355008482,3750.0,41,Portero
10418,J. Muñoz,22,10,0,0,6,0,181.82037734850465,3190.0,39,Portero
10419,A. Labrador,24,9,0,0,4,0,181.82033996485524,2830.0,38,Portero
10420,Frank Chimakpam,21,13,2,0,4,0,181.82014993130403,1000.0,25,Portero
10422,Pablo Sanz,27,26,44,0,2,29,186.0,5280.0,42,Portero
10424,C. Andrei,10,8,14,0,2,24,180.6363444624675,1000.0,28,Portero
10426,M. Fortes,29,29,0,0,1,23,180.68658455131168,9810.0,44,Lateral Derecho
10427,Neku Hurtado,29,26,2,0,9,20,185.0,904.76,33,Defensa Central
10428,Noni,24,18,0,0,9,30,188.0,2940.0,42,Defensa Central
10429,A. Felix,20,11,1,0,0,0,181.82013839429445,888.9,32,Lateral Derecho
10431,J. Antolin,31,17,0,0,9,0,181.82014993130403,1000.0,33,Portero
10432,S. Vara,3,0,1,0,0,0,181.82014993130403,1000.0,28,Portero
10433,Theo,23,23,0,0,2,23,180.68577353380627,2000.0,38,Portero
10434,Juanan Sanchez,28,27,0,0,9,32,180.0,3470.0,39,Defensa Central
10435,Amando,29,25,0,0,6,26,180.53842298789473,8020.0,39,Mediocentro
10436,Diego,29,19,1,0,2,21,178.0,6220.0,40,Mediocentro
10437,J. Sergeant,30,21,7,0,8,24,180.63640261481103,1560.0,37,Lateral Derecho
10438,Aguinaco,21,16,0,0,0,36,178.0,1000.0,41,Delantero Centro
10439,Arturo,12,10,0,0,5,0,181.82029323529346,2380.0,39,Delantero Centro
